,query,label
72,Book me a hotel in andra pradesh,O O O O O B-Location I-Location
73,Book me a hotel in Afghanistan,O O O O O B-Location
74,Book me a hotel in Akrotiri,O O O O O B-Location
75,Book me a hotel in Albania,O O O O O B-Location
76,Book me a hotel in Algeria,O O O O O B-Location
77,Book me a hotel in American,O O O O O B-Location
78,Book me a hotel in Samoa,O O O O O B-Location
79,Book me a hotel in Andorra,O O O O O B-Location
80,Book me a hotel in Angola,O O O O O B-Location
81,Book me a hotel in Anguilla,O O O O O B-Location
82,Book me a hotel in Antarctica,O O O O O B-Location
83,Book me a hotel in Antigua and Barbuda,O O O O O B-Location I-Location I-Location
84,Book me a hotel in Argentina,O O O O O B-Location
85,Book me a hotel in Armenia,O O O O O B-Location
86,Book me a hotel in kolkata on today,O O O O O B-Location O B-CheckinDay
87,Book me a hotel in arunachal pradesh on today,O O O O O B-Location I-Location O B-CheckinDay
88,Book me a hotel in andra pradesh on today,O O O O O B-Location I-Location O B-CheckinDay
89,Book me a hotel in Afghanistan on today,O O O O O B-Location O B-CheckinDay
90,Book me a hotel in Akrotiri on today,O O O O O B-Location O B-CheckinDay
91,Book me a hotel in Albania on today,O O O O O B-Location O B-CheckinDay
92,Book me a hotel in Algeria on today,O O O O O B-Location O B-CheckinDay
93,Book me a hotel in American on today,O O O O O B-Location O B-CheckinDay
94,Book me a hotel in Samoa on today,O O O O O B-Location O B-CheckinDay
95,Book me a hotel in Andorra on today,O O O O O B-Location O B-CheckinDay
96,Book me a hotel in Angola on today,O O O O O B-Location O B-CheckinDay
97,Book me a hotel in Anguilla on today,O O O O O B-Location O B-CheckinDay
98,Book me a hotel in Antarctica on today,O O O O O B-Location O B-CheckinDay
99,Book me a hotel in Antigua and Barbuda on today,O O O O O B-Location I-Location I-Location O B-CheckinDay
100,Book me a hotel in Argentina on today,O O O O O B-Location O B-CheckinDay
101,Book me a hotel in Armenia on today,O O O O O B-Location O B-CheckinDay
102,Book me a hotel in kolkata on tomorrow,O O O O O B-Location O B-CheckinDay
103,Book me a hotel in kolkata on next day,O O O O O B-Location O B-CheckinDay I-CheckinDay
104,Book me a hotel in kolkata on last day,O O O O O B-Location O B-CheckinDay I-CheckinDay
105,Book me a hotel in kolkata on next week,O O O O O B-Location O B-CheckinDay I-CheckinDay
106,Book me a hotel in kolkata on tonight,O O O O O B-Location O B-CheckinDay
107,Book me a hotel in kolkata on yesterday,O O O O O B-Location O B-CheckinDay
108,Book me a hotel in kolkata on next to next week,O O O O O B-Location O B-CheckinDay I-CheckinDay I-CheckinDay I-CheckinDay
109,Book me a hotel in kolkata on monday,O O O O O B-Location O B-CheckinDay
110,Book me a hotel in kolkata on tuesday,O O O O O B-Location O B-CheckinDay
111,Book me a hotel in kolkata on wednesday,O O O O O B-Location O B-CheckinDay
112,Book me a hotel in kolkata on thursday,O O O O O B-Location O B-CheckinDay
113,Book me a hotel in kolkata on friday,O O O O O B-Location O B-CheckinDay
114,Book me a hotel in kolkata on saturday,O O O O O B-Location O B-CheckinDay
115,Book me a hotel in kolkata on sunday,O O O O O B-Location O B-CheckinDay
116,Book me a hotel with checkin time 19 jan and checkout at 19 jan in kolkata,O O O O O O O B-checkin I-checkin O O O B-Checkout I-Checkout O B-Location
117,Book me a hotel with checkin time 1 Jan and checkout at 19 jan in kolkata,O O O O O O O B-checkin I-checkin O O O B-Checkout I-Checkout O B-Location
118,Book me a hotel with checkin time 2 Jan and checkout at 19 jan in kolkata,O O O O O O O B-checkin I-checkin O O O B-Checkout I-Checkout O B-Location
119,Book me a hotel with checkin time 3 Apr and checkout at 19 jan in kolkata,O O O O O O O B-checkin I-checkin O O O B-Checkout I-Checkout O B-Location
120,Book me a hotel with checkin time 4 April and checkout at 19 jan in kolkata,O O O O O O O B-checkin I-checkin O O O B-Checkout I-Checkout O B-Location
121,Book me a hotel with checkin time 5 april and checkout at 19 jan in kolkata,O O O O O O O B-checkin I-checkin O O O B-Checkout I-Checkout O B-Location
122,Book me a hotel with checkin time 6 Jan and checkout at 19 jan in kolkata,O O O O O O O B-checkin I-checkin O O O B-Checkout I-Checkout O B-Location
123,Book me a hotel with checkin time 7 Feb and checkout at 19 jan in kolkata,O O O O O O O B-checkin I-checkin O O O B-Checkout I-Checkout O B-Location
124,Book me a hotel with checkin time 8 Jan and checkout at 19 jan in kolkata,O O O O O O O B-checkin I-checkin O O O B-Checkout I-Checkout O B-Location
125,Book me a hotel with checkin time 12 Jan and checkout at 19 jan in kolkata,O O O O O O O B-checkin I-checkin O O O B-Checkout I-Checkout O B-Location
126,Book me a hotel with checkin time 24 Jan and checkout at 19 jan in kolkata,O O O O O O O B-checkin I-checkin O O O B-Checkout I-Checkout O B-Location
127,Book me a hotel with checkin time 26 Feb and checkout at 19 jan in kolkata,O O O O O O O B-checkin I-checkin O O O B-Checkout I-Checkout O B-Location
128,Book me a hotel with checkin time 28 Jan and checkout at 19 jan in kolkata,O O O O O O O B-checkin I-checkin O O O B-Checkout I-Checkout O B-Location
129,Book me a hotel with checkin time 17 Jan and checkout at 19 jan in kolkata,O O O O O O O B-checkin I-checkin O O O B-Checkout I-Checkout O B-Location
130,Book me a hotel with checkin time 19 Mar and checkout at 19 jan in kolkata,O O O O O O O B-checkin I-checkin O O O B-Checkout I-Checkout O B-Location
131,Book me a hotel with checkin time 3 Mar and checkout at 19 jan in kolkata,O O O O O O O B-checkin I-checkin O O O B-Checkout I-Checkout O B-Location
132,Book me a hotel with checkin time 19 jan and checkout at 19 jan in arunachal pradesh,O O O O O O O B-checkin I-checkin O O O B-Checkout I-Checkout O B-Location I-Location
133,Book me a hotel with checkin time 19 jan and checkout at 19 jan in andra pradesh,O O O O O O O B-checkin I-checkin O O O B-Checkout I-Checkout O B-Location I-Location
134,Book me a hotel with checkin time 19 jan and checkout at 19 jan in Afghanistan,O O O O O O O B-checkin I-checkin O O O B-Checkout I-Checkout O B-Location
135,Book me a hotel with checkin time 19 jan and checkout at 19 jan in Akrotiri,O O O O O O O B-checkin I-checkin O O O B-Checkout I-Checkout O B-Location
136,Book me a hotel with checkin time 19 jan and checkout at 19 jan in Albania,O O O O O O O B-checkin I-checkin O O O B-Checkout I-Checkout O B-Location
137,Book me a hotel with checkin time 19 jan and checkout at 19 jan in Algeria,O O O O O O O B-checkin I-checkin O O O B-Checkout I-Checkout O B-Location
138,Book me a hotel with checkin time 19 jan and checkout at 19 jan in American,O O O O O O O B-checkin I-checkin O O O B-Checkout I-Checkout O B-Location
139,Book me a hotel with checkin time 19 jan and checkout at 19 jan in Samoa,O O O O O O O B-checkin I-checkin O O O B-Checkout I-Checkout O B-Location
140,Book me a hotel with checkin time 19 jan and checkout at 19 jan in Andorra,O O O O O O O B-checkin I-checkin O O O B-Checkout I-Checkout O B-Location
141,Book me a hotel with checkin time 19 jan and checkout at 19 jan in Angola,O O O O O O O B-checkin I-checkin O O O B-Checkout I-Checkout O B-Location
142,Book me a hotel with checkin time 19 jan and checkout at 19 jan in Anguilla,O O O O O O O B-checkin I-checkin O O O B-Checkout I-Checkout O B-Location
143,Book me a hotel with checkin time 19 jan and checkout at 19 jan in Antarctica,O O O O O O O B-checkin I-checkin O O O B-Checkout I-Checkout O B-Location
144,Book me a hotel with checkin time 19 jan and checkout at 19 jan in Antigua and Barbuda,O O O O O O O B-checkin I-checkin O O O B-Checkout I-Checkout O B-Location I-Location I-Location
145,Book me a hotel with checkin time 19 jan and checkout at 19 jan in Argentina,O O O O O O O B-checkin I-checkin O O O B-Checkout I-Checkout O B-Location
146,Book me a hotel with checkin time 19 jan and checkout at 19 jan in Armenia,O O O O O O O B-checkin I-checkin O O O B-Checkout I-Checkout O B-Location
147,book me a hotel for 2 person for kolkata,O O O O O B-NoOfTravellers I-NoOfTravellers O B-Location
148,book me a hotel for 1 person for kolkata,O O O O O B-NoOfTravellers I-NoOfTravellers O B-Location
149,book me a hotel for 3 for kolkata,O O O O O B-NoOfTravellers O B-Location
150,book me a hotel for 4 for kolkata,O O O O O B-NoOfTravellers O B-Location
151,book me a hotel for 5 visitors for kolkata,O O O O O B-NoOfTravellers I-NoOfTravellers O B-Location
152,book me a hotel for 6 for kolkata,O O O O O B-NoOfTravellers O B-Location
153,book me a hotel for a person for kolkata,O O O O O B-NoOfTravellers I-NoOfTravellers O B-Location
154,book me a hotel for two person for kolkata,O O O O O B-NoOfTravellers I-NoOfTravellers O B-Location
155,book me a hotel for three for kolkata,O O O O O B-NoOfTravellers O B-Location
156,book me a hotel for four for kolkata,O O O O O B-NoOfTravellers O B-Location
157,book me a hotel for five for kolkata,O O O O O B-NoOfTravellers O B-Location
158,book me a hotel for one person for kolkata,O O O O O B-NoOfTravellers I-NoOfTravellers O B-Location
159,book me a hotel for two traveller for kolkata,O O O O O B-NoOfTravellers I-NoOfTravellers O B-Location
160,book me a hotel for 1 people for kolkata,O O O O O B-NoOfTravellers I-NoOfTravellers O B-Location
161,book me a hotel for 2 people for kolkata,O O O O O B-NoOfTravellers I-NoOfTravellers O B-Location
162,book me a hotel for 2 person for arunachal pradesh,O O O O O B-NoOfTravellers I-NoOfTravellers O B-Location I-Location
163,book me a hotel for 2 person for andra pradesh,O O O O O B-NoOfTravellers I-NoOfTravellers O B-Location I-Location
164,book me a hotel for 2 person for Afghanistan,O O O O O B-NoOfTravellers I-NoOfTravellers O B-Location
165,book me a hotel for 2 person for Akrotiri,O O O O O B-NoOfTravellers I-NoOfTravellers O B-Location
166,book me a hotel for 2 person for Albania,O O O O O B-NoOfTravellers I-NoOfTravellers O B-Location
167,book me a hotel for 2 person for Algeria,O O O O O B-NoOfTravellers I-NoOfTravellers O B-Location
168,book me a hotel for 2 person for American,O O O O O B-NoOfTravellers I-NoOfTravellers O B-Location
169,book me a hotel for 2 person for Samoa,O O O O O B-NoOfTravellers I-NoOfTravellers O B-Location
170,book me a hotel for 2 person for Andorra,O O O O O B-NoOfTravellers I-NoOfTravellers O B-Location
171,book me a hotel for 2 person for Angola,O O O O O B-NoOfTravellers I-NoOfTravellers O B-Location
172,book me a hotel for 2 person for Anguilla,O O O O O B-NoOfTravellers I-NoOfTravellers O B-Location
173,book me a hotel for 2 person for Antarctica,O O O O O B-NoOfTravellers I-NoOfTravellers O B-Location
174,book me a hotel for 2 person for Antigua and Barbuda,O O O O O B-NoOfTravellers I-NoOfTravellers O B-Location I-Location I-Location
175,book me a hotel for 2 person for Argentina,O O O O O B-NoOfTravellers I-NoOfTravellers O B-Location
176,book me a hotel for 2 person for Armenia,O O O O O B-NoOfTravellers I-NoOfTravellers O B-Location
177,book me a hotel on christmas for 2 person,O O O O O B-Event O B-NoOfTravellers I-NoOfTravellers
178,book me a hotel on New Year Celebration for 2 person,O O O O O B-Event I-Event I-Event O B-NoOfTravellers I-NoOfTravellers
179,book me a hotel on Makar Sankranti for 2 person,O O O O O B-Event I-Event O B-NoOfTravellers I-NoOfTravellers
180,book me a hotel on Pongal Republic Day for 2 person,O O O O O B-Event I-Event I-Event O B-NoOfTravellers I-NoOfTravellers
181,book me a hotel on Maha ShivratriHoli Chaitra navratra for 2 person,O O O O O B-Event I-Event I-Event I-Event O B-NoOfTravellers I-NoOfTravellers
182,book me a hotel on Gudi Padwa Ram Navami Mahavir Jayanti for 2 person,O O O O O B-Event I-Event I-Event I-Event I-Event I-Event O B-NoOfTravellers I-NoOfTravellers
183,book me a hotel on Good Friday for 2 person,O O O O O B-Event I-Event O B-NoOfTravellers I-NoOfTravellers
184,book me a hotel on Labour day for 2 person,O O O O O B-Event I-Event O B-NoOfTravellers I-NoOfTravellers
185,book me a hotel on Budhha Purnima for 2 person,O O O O O B-Event I-Event O B-NoOfTravellers I-NoOfTravellers
186,book me a hotel on Eid-Ul-Fitar for 2 person,O O O O O B-Event O B-NoOfTravellers I-NoOfTravellers
187,book me a hotel on Rath Yatra for 2 person,O O O O O B-Event I-Event O B-NoOfTravellers I-NoOfTravellers
188,book me a hotel on Bakri id for 2 person,O O O O O B-Event I-Event O B-NoOfTravellers I-NoOfTravellers
189,book me a hotel on Eid-ul-adha for 2 person,O O O O O B-Event O B-NoOfTravellers I-NoOfTravellers
190,book me a hotel on Raksha Bandhan for 2 person,O O O O O B-Event I-Event O B-NoOfTravellers I-NoOfTravellers
191,book me a hotel on Janmashtmi for 2 person,O O O O O B-Event O B-NoOfTravellers I-NoOfTravellers
192,book me a hotel on Independence Day for 2 person,O O O O O B-Event I-Event O B-NoOfTravellers I-NoOfTravellers
193,book me a hotel on christmas for 1 person,O O O O O B-Event O B-NoOfTravellers I-NoOfTravellers
194,book me a hotel on christmas for 3,O O O O O B-Event O B-NoOfTravellers
195,book me a hotel on christmas for 4,O O O O O B-Event O B-NoOfTravellers
196,book me a hotel on christmas for 5 visitors,O O O O O B-Event O B-NoOfTravellers I-NoOfTravellers
197,book me a hotel on christmas for 6,O O O O O B-Event O B-NoOfTravellers
198,book me a hotel on christmas for a person,O O O O O B-Event O B-NoOfTravellers I-NoOfTravellers
199,book me a hotel on christmas for two person,O O O O O B-Event O B-NoOfTravellers I-NoOfTravellers
200,book me a hotel on christmas for three,O O O O O B-Event O B-NoOfTravellers
201,book me a hotel on christmas for four,O O O O O B-Event O B-NoOfTravellers
202,book me a hotel on christmas for five,O O O O O B-Event O B-NoOfTravellers
203,book me a hotel on christmas for one person,O O O O O B-Event O B-NoOfTravellers I-NoOfTravellers
204,book me a hotel on christmas for two traveller,O O O O O B-Event O B-NoOfTravellers I-NoOfTravellers
205,book me a hotel on christmas for 1 people,O O O O O B-Event O B-NoOfTravellers I-NoOfTravellers
206,book me a hotel on christmas for 2 people,O O O O O B-Event O B-NoOfTravellers I-NoOfTravellers
207,Book me a hall in 5 star hotel in kolkata,O O O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-Location
208,Book me a hall in one star hotel in kolkata,O O O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-Location
209,Book me a hall in two star hotel in kolkata,O O O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-Location
210,Book me a hall in three star hotel in kolkata,O O O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-Location
211,Book me a hall in four star hotel in kolkata,O O O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-Location
212,Book me a hall in five star hotel in kolkata,O O O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-Location
213,Book me a hall in 1 star hotel in kolkata,O O O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-Location
214,Book me a hall in 2 star in kolkata,O O O O O B-Star_Rate I-Star_Rate O B-Location
215,Book me a hall in 3 star hotel in kolkata,O O O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-Location
216,Book me a hall in 4 star in kolkata,O O O O O B-Star_Rate I-Star_Rate O B-Location
217,Book me a hall in 5 star hotel in arunachal pradesh,O O O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-Location I-Location
218,Book me a hall in 5 star hotel in andra pradesh,O O O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-Location I-Location
219,Book me a hall in 5 star hotel in Afghanistan,O O O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-Location
220,Book me a hall in 5 star hotel in Akrotiri,O O O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-Location
221,Book me a hall in 5 star hotel in Albania,O O O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-Location
222,Book me a hall in 5 star hotel in Algeria,O O O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-Location
223,Book me a hall in 5 star hotel in American,O O O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-Location
224,Book me a hall in 5 star hotel in Samoa,O O O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-Location
225,Book me a hall in 5 star hotel in Andorra,O O O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-Location
226,Book me a hall in 5 star hotel in Angola,O O O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-Location
227,Book me a hall in 5 star hotel in Anguilla,O O O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-Location
228,Book me a hall in 5 star hotel in Antarctica,O O O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-Location
229,Book me a hall in 5 star hotel in Antigua and Barbuda,O O O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-Location I-Location I-Location
230,Book me a hall in 5 star hotel in Argentina,O O O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-Location
231,Book me a hall in 5 star hotel in Armenia,O O O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-Location
232,book me a hotel for kolkata for my unmarried to spend 2 days,O O O O O B-Location O O B-CustomerType O O B-NoOfDay I-NoOfDay
233,book me a hotel for arunachal pradesh for my unmarried to spend 2 days,O O O O O B-Location I-Location O O B-CustomerType O O B-NoOfDay I-NoOfDay
234,book me a hotel for andra pradesh for my unmarried to spend 2 days,O O O O O B-Location I-Location O O B-CustomerType O O B-NoOfDay I-NoOfDay
235,book me a hotel for Afghanistan for my unmarried to spend 2 days,O O O O O B-Location O O B-CustomerType O O B-NoOfDay I-NoOfDay
236,book me a hotel for Akrotiri for my unmarried to spend 2 days,O O O O O B-Location O O B-CustomerType O O B-NoOfDay I-NoOfDay
237,book me a hotel for Albania for my unmarried to spend 2 days,O O O O O B-Location O O B-CustomerType O O B-NoOfDay I-NoOfDay
238,book me a hotel for Algeria for my unmarried to spend 2 days,O O O O O B-Location O O B-CustomerType O O B-NoOfDay I-NoOfDay
239,book me a hotel for American for my unmarried to spend 2 days,O O O O O B-Location O O B-CustomerType O O B-NoOfDay I-NoOfDay
240,book me a hotel for Samoa for my unmarried to spend 2 days,O O O O O B-Location O O B-CustomerType O O B-NoOfDay I-NoOfDay
241,book me a hotel for Andorra for my unmarried to spend 2 days,O O O O O B-Location O O B-CustomerType O O B-NoOfDay I-NoOfDay
242,book me a hotel for Angola for my unmarried to spend 2 days,O O O O O B-Location O O B-CustomerType O O B-NoOfDay I-NoOfDay
243,book me a hotel for Anguilla for my unmarried to spend 2 days,O O O O O B-Location O O B-CustomerType O O B-NoOfDay I-NoOfDay
244,book me a hotel for Antarctica for my unmarried to spend 2 days,O O O O O B-Location O O B-CustomerType O O B-NoOfDay I-NoOfDay
245,book me a hotel for Antigua and Barbuda for my unmarried to spend 2 days,O O O O O B-Location I-Location I-Location O O B-CustomerType O O B-NoOfDay I-NoOfDay
246,book me a hotel for Argentina for my unmarried to spend 2 days,O O O O O B-Location O O B-CustomerType O O B-NoOfDay I-NoOfDay
247,book me a hotel for Armenia for my unmarried to spend 2 days,O O O O O B-Location O O B-CustomerType O O B-NoOfDay I-NoOfDay
248,book me a hotel for kolkata for my married couples to spend 2 days,O O O O O B-Location O O B-CustomerType I-CustomerType O O B-NoOfDay I-NoOfDay
249,book me a hotel for kolkata for my unmarried couples to spend 2 days,O O O O O B-Location O O B-CustomerType I-CustomerType O O B-NoOfDay I-NoOfDay
250,book me a hotel for kolkata for my friends to spend 2 days,O O O O O B-Location O O B-CustomerType O O B-NoOfDay I-NoOfDay
251,book me a hotel for kolkata for my family to spend 2 days,O O O O O B-Location O O B-CustomerType O O B-NoOfDay I-NoOfDay
252,book me a hotel for kolkata for my couples to spend 2 days,O O O O O B-Location O O B-CustomerType O O B-NoOfDay I-NoOfDay
253,book me a hotel for kolkata for my mother to spend 2 days,O O O O O B-Location O O B-CustomerType O O B-NoOfDay I-NoOfDay
254,book me a hotel for kolkata for my sister to spend 2 days,O O O O O B-Location O O B-CustomerType O O B-NoOfDay I-NoOfDay
255,book me a hotel for kolkata for my father to spend 2 days,O O O O O B-Location O O B-CustomerType O O B-NoOfDay I-NoOfDay
256,book me a hotel for kolkata for my unmarried to spend 1 day,O O O O O B-Location O O B-CustomerType O O B-NoOfDay I-NoOfDay
257,book me a hotel for kolkata for my unmarried to spend 2 day,O O O O O B-Location O O B-CustomerType O O B-NoOfDay I-NoOfDay
